Lat,gun_alt,tgt alt,mass,GTAz,AOF,v0,range,QE,Max Ord,TOF,Drift,Defl
50,0,0,103.5,4188,0,568,6937,170.9,359,16,6,5418
50,0,0,95,4188,0,587.6,6937,166,354,16,6,5418
70,0,0,103.5,5530,0,568,6950,171.7,360,16,6,4076
10,1000,1000,103.5,4425,0,568,6976,164.1,1341,16,5,5180
34.33,1868,2125,95,1262,1234,587.6,6982,188.1,2334,15,6,3178
30,1000,1000,103.5,5378,0,568,7112,168.9,1359,16,6,4228
0,1000,1000,95,5329,0,587.6,7150,164.7,1357,16,5,4276
34.3,321,399,103.5,1876,1234,568,7162,185.9,745,17,6,2564
50,2000,2000,95,5315,0,587.6,7420,165.4,2367,17,6,4291
33.8,1980,2075,95,5889,0,587.6,7663,186.1,2435,17,6,3717
40,0,0,95,4216,0,587.6,8099,212.6,548,20,8,5392
30,0,0,103.5,5071,0,568,8285,1286.1,8247,84,173,4702
20,0,0,103.5,4270,0,568,8667,1275.1,8200,83,156,5486
30,0,0,103.5,2443,0,568,8815,1267.9,8180,83,151,908
30,0,0,103.5,2443,0,568,8815,246.8,693,23,8,765
30,0,0,103.5,4041,0,568,9045,1262.9,8138,83,142,5701
40,1000,1000,103.5,2371,0,568,9347,256.7,1760,24,9,838
10,2000,2000,95,5183,0,587.6,9634,249.6,2764,24,9,4426
10,2000,2000,103.5,5183,0,568,9634,1269.8,10825,87,154,4571
20,1000,1000,103.5,2352,0,568,9782,1250.3,9411,84,132,980
30,2000,2000,95,2146,0,587.6,9846,1256.2,10912,88,173,1227
40,2000,2000,103.5,5384,0,568,10041,1257.7,10750,86,138,4354
50,0,0,95,5731,0,587.6,10166,1218,7974,82,118,3987
40,1000,1000,95,774,0,587.6,10424,1226.1,9369,84,124,2550
80,0,0,95,4063,0,587.6,10640,1198,7853,81,111,5648
20,2000,2000,95,4109,0,587.6,10728,1234.4,10764,86,137,5628
80,1000,1000,95,4117,0,587.6,10741,1215,9277,83,120,5603
20,2000,2000,103.5,1120,0,568,10779,1233.1,10641,85,113,2193
10,1000,1000,103.5,5551,0,568,10795,1218.4,9206,83,99,4148
60,2000,2000,95,696,0,587.6,10870,304.9,3084,29,12,2516
60,0,0,95,2466,0,587.6,10935,1186.1,7789,80,106,840
0,2000,2000,95,5335,0,587.6,10983,1227.3,10719,86,122,4387
0,2000,2000,103.5,5335,0,568,10983,1229.3,10593,85,107,4372
34.1,1884,1884,103.5,0,1234,682,10994,202.8,2585,23,7,4441
34.1,1884,1884,103.5,3200,1234,682,10994,202.9,2585,23,8,1242
34.1,1884,1724,103.5,948,1234,568,11117,1221.4,10407,85,106,3592
60,2000,2000,103.5,5494,0,568,11143,326.3,3175,30,12,4118
80,2000,2000,103.5,2504,0,568,11238,330.4,3202,30,12,708
70,0,0,95,5670,0,587.6,11604,394.1,1557,34,15,3945
80,1000,1000,95,2464,0,587.6,11878,1169,8991,81,98,834
10,0,0,103.5,4017,0,682,12284,1234.3,10264,94,127,5710
34.33,1868,621,95,29,1234,587.6,12323,275.9,2777,34,13,4418
20,1000,1000,103.5,4313,0,682,12388,1249.8,11896,97,147,5434
10,1000,1000,103.5,3921,0,682,12413,269.5,2116,29,9,5688
34.3,321,858,103.5,3035,1234,682,12578,336.5,1910,31,12,1411
40,1000,1000,95,4065,0,699.9,13044,299.8,2352,32,12,5547
40,1000,1000,103.5,4065,0,682,13044,1232.6,11762,96,129,5664
20,2000,2000,95,4046,0,699.9,13221,1238.1,13371,100,169,5723
20,2000,2000,103.5,4046,0,682,13221,277.9,3211,31,10,5564
34.3,321,255,103.5,1031,1234,682,13445,324.3,1821,34,12,3415
50,1000,1000,95,5668,0,699.9,13626,1207.4,11529,95,122,4054
20,2000,2000,103.5,2622,0,682,13712,294.8,3350,32,11,589
30,0,0,95,748,0,699.9,13744,361.3,1782,37,14,2466
50,1000,1000,95,728,0,587.6,13782,1071.9,8296,77,69,2541
40,1000,1000,95,5551,0,699.9,13989,1197,11447,94,115,4164
20,0,0,95,5241,0,699.9,13996,378.3,1906,38,15,4374
10,2000,2000,95,5565,0,699.9,14043,1220.1,13221,99,133,4168
33.8,1980,974,103.5,4909,1234,568,14108,1111.6,9740,83,70,5995
0,1000,1000,95,5413,0,699.9,14116,1194.2,11432,94,109,4296
0,1000,1000,103.5,5413,0,682,14116,1203.5,11538,95,99,4286
30,2000,2000,103.5,4308,0,682,14164,316.5,3510,34,12,5304
20,1000,1000,103.5,5518,0,682,14242,1199.1,11500,94,99,4181
30,2000,2000,103.5,5756,0,682,14496,330.2,3624,35,13,3857
34.33,1868,1995,95,2245,1234,699.9,14534,346.9,3658,36,14,2203
30,2000,2000,95,827,0,699.9,14542,333.7,3686,36,13,2386
0,2000,2000,95,728,0,699.9,14803,345.1,3784,37,13,2485
0,2000,2000,103.5,728,0,682,14803,340.3,3722,37,12,2484
50,1000,1000,103.5,2383,0,682,15132,1166.4,11236,93,93,910
33.8,1980,1850,95,3473,0,587.6,15351,1043.3,9325,81,68,6195
34.1,1884,1011,103.5,2186,1234,682,15549,1186.7,12779,99,102,2350
80,0,0,95,4219,0,699.9,15698,483.6,2816,46,22,5403
80,0,0,95,4219,0,699.9,15698,1090.8,9009,86,82,5463
80,0,0,103.5,4219,0,682,15698,471,2694,45,19,5400
10,2000,2000,95,3581,0,699.9,15868,1166.4,12758,96,103,6122
10,2000,2000,103.5,3581,0,682,15868,1174.7,12834,96,94,6113
70,1000,1000,95,2402,0,699.9,16145,462.3,3743,46,21,819
60,0,0,95,2289,0,699.9,16163,1065.8,8795,85,76,987
34.1,1884,1218,103.5,6313,1234,682,16989,1138.1,12300,96,77,4598
34.1,1884,1884,103.5,0,1234,682,17991,1086.5,11778,91,65,4499
34.1,1884,1884,103.5,3200,1234,682,17991,1086,11775,91,71,1305
10,1000,1000,103.5,2465,0,790,19560,450.8,4316,51,19,754
33.8,1980,797,103.5,5731,1234,790,19578,1193.6,15996,114,121,5224
33.8,1980,1001,95,1723,0,810.8,19602,364.5,4442,49,20,1497
33.8,1980,1001,95,1723,1234,810.8,19602,364.5,4442,49,20,2731
34.33,1868,63,95,6169,1234,699.9,20083,601.7,6171,64,30,4695
50,2000,2000,95,771,0,810.8,20091,1162.8,15652,110,115,2544
34.33,1868,1676,95,2418,1234,810.8,20093,434.3,5121,51,21,2037
34.3,321,549,103.5,3394,1234,790,20142,545.3,4641,57,22,1062
40,0,0,103.5,4001,0,790,20155,1064.8,11000,97,70,5669
50,2000,2000,95,2366,0,810.8,20217,1158.9,15612,109,117,951
34.1,1884,1216,103.5,6363,1234,790,20296,1169.2,15551,111,102,4573
50,1000,1000,95,746,0,810.8,20367,518.3,5126,56,24,2478
50,1000,1000,103.5,746,0,790,20367,497.1,4864,55,21,2475
20,1000,1000,95,757,0,810.8,20417,1100.2,13083,103,83,2526
10,1000,1000,103.5,3669,0,790,20428,501.9,4915,55,20,5951
20,0,0,95,2292,0,810.8,20492,1022.6,10441,94,68,976
20,0,0,103.5,2292,0,790,20492,576.9,4662,60,22,930
20,0,0,103.5,4051,0,790,20608,1041.8,10725,95,65,5614
40,1000,1000,95,973,0,810.8,20705,590.9,6065,59,25,2252
34.1,1884,1009,103.5,2420,1234,790,20730,1157.8,15443,111,103,2117
34.3,321,113,103.5,821,1234,790,20857,566.2,4917,60,23,3636
50,0,0,103.5,2563,0,790,20940,617.5,5157,63,26,663
50,0,0,103.5,2563,0,790,20940,1020.1,10474,94,63,700
30,2000,2000,95,2767,0,810.8,21026,1137,15352,108,103,536
40,1000,1000,103.5,4528,0,790,21029,1092.1,12999,101,76,5148
80,0,0,103.5,1879,0,790,21034,629.4,5297,64,27,1348
0,0,0,103.5,2342,0,790,21061,622.9,5224,64,23,881
0,2000,2000,95,3829,0,810.8,21114,491,5964,55,22,5793
0,2000,2000,103.5,3829,0,790,21114,1147.7,15500,108,94,5865
60,2000,2000,103.5,2491,0,790,21146,1144,15452,108,96,805
30,2000,2000,95,1045,0,810.8,21190,491,5988,56,22,2177
60,0,0,103.5,5617,0,790,21190,646,5502,65,27,4010
40,0,0,95,981,0,810.8,21251,950.5,9634,89,56,2275
30,1000,1000,95,266,0,810.8,21289,1061.1,12566,100,72,3006
0,2000,2000,95,689,0,810.8,21390,501.6,6127,57,21,2532
50,0,0,95,4051,0,810.8,21479,731.5,6574,72,35,5584
70,0,0,103.5,740,0,790,21519,973.4,9858,90,54,2514
70,2000,2000,95,5600,0,810.8,21581,518.9,6324,58,25,4025
70,2000,2000,95,5600,0,810.8,21581,1118.6,15053,106,94,4094
60,1000,1000,95,3833,0,810.8,21602,1041.1,12270,98,74,5841
60,1000,1000,103.5,3833,0,790,21602,1064.4,12646,100,72,5839
60,1000,1000,95,5571,0,810.8,21989,644.2,6747,67,31,4060

